CenBlock10,CenTract10,NTA10,PUMA10,CenUnits10
360050043004002,36005004300,BX39,3710,40
360050044001000,36005004400,BX55,3709,529
360050044002000,36005004400,BX55,3709,178
360050044003000,36005004400,BX55,3709,47
360050044003001,36005004400,BX55,3709,68
360050044003002,36005004400,BX55,3709,393
360050044004000,36005004400,BX55,3709,450
360050044004001,36005004400,BX55,3709,17
360050044004002,36005004400,BX55,3709,0
360050044004003,36005004400,BX55,3709,0
360050044004004,36005004400,BX55,3709,0
360050046001000,36005004600,BX09,3709,0
360050046001001,36005004600,BX09,3709,1
360050046001002,36005004600,BX09,3709,9
360050046001003,36005004600,BX09,3709,1
360050046001004,36005004600,BX09,3709,0
360050046001005,36005004600,BX09,3709,91
360050046001006,36005004600,BX09,3709,254
360050046001007,36005004600,BX09,3709,119
360050046001008,36005004600,BX09,3709,48
360050046001009,36005004600,BX09,3709,32
360050046001010,36005004600,BX09,3709,0
360050046001011,36005004600,BX09,3709,0
360050046001012,36005004600,BX09,3709,93
360050048001000,36005004800,BX55,3709,0
360050048001001,36005004800,BX55,3709,0
360050048001002,36005004800,BX55,3709,646
360050048001003,36005004800,BX55,3709,16
360050048002000,36005004800,BX55,3709,347
360050048002001,36005004800,BX55,3709,94
360050048002002,36005004800,BX55,3709,265
360050048002003,36005004800,BX55,3709,21
360050048002004,36005004800,BX55,3709,0
360050048002005,36005004800,BX55,3709,0
360050050011000,36005005001,BX55,3709,297
360050050011001,36005005001,BX55,3709,156
360050050012000,36005005001,BX55,3709,480
360050050013000,36005005001,BX55,3709,296
360050050014000,36005005001,BX55,3709,352
360050050021000,36005005002,BX55,3709,427
360050050021001,36005005002,BX55,3709,430
360050050022000,36005005002,BX55,3709,390
360050050023000,36005005002,BX55,3709,378
360050050024000,36005005002,BX55,3709,280
360050050024001,36005005002,BX55,3709,82
360050051001000,36005005100,BX39,3710,0
360050051001001,36005005100,BX39,3710,0
360050051001002,36005005100,BX39,3710,56
360050051001003,36005005100,BX39,3710,52
360050051001004,36005005100,BX39,3710,0
360050051001005,36005005100,BX39,3710,0
360050051001006,36005005100,BX39,3710,0
360050051001007,36005005100,BX39,3710,0
360050051001008,36005005100,BX39,3710,0
360050051001009,36005005100,BX39,3710,0
360050051001010,36005005100,BX39,3710,0
360050051001011,36005005100,BX39,3710,0
360050051001012,36005005100,BX39,3710,0
360050051001013,36005005100,BX39,3710,0
360050051001014,36005005100,BX39,3710,0
360050051001015,36005005100,BX39,3710,0
360050051001016,36005005100,BX39,3710,0
360050051001017,36005005100,BX39,3710,0
360050051001018,36005005100,BX39,3710,0
360050051001019,36005005100,BX39,3710,0
360050051001020,36005005100,BX39,3710,0
360050051001021,36005005100,BX39,3710,0
360050051001022,36005005100,BX39,3710,0
360050051001023,36005005100,BX39,3710,0
360050051001024,36005005100,BX39,3710,0
360050051001025,36005005100,BX39,3710,0
360050051001026,36005005100,BX39,3710,49
360050051002000,36005005100,BX39,3710,3
360050051002001,36005005100,BX39,3710,3
360050051002002,36005005100,BX39,3710,3
360050051002003,36005005100,BX39,3710,0
360050051002004,36005005100,BX39,3710,0
360050051002005,36005005100,BX39,3710,0
360050051002006,36005005100,BX39,3710,0
360050051002007,36005005100,BX39,3710,924
360050051002008,36005005100,BX39,3710,0
360050051002009,36005005100,BX39,3710,0
360050051002010,36005005100,BX39,3710,0
360050051002011,36005005100,BX39,3710,0
360050051002012,36005005100,BX39,3710,3
360050051003000,36005005100,BX39,3710,867
360050051003001,36005005100,BX39,3710,31
360050052001000,36005005200,BX55,3709,102
360050052001001,36005005200,BX55,3709,0
360050052001002,36005005200,BX55,3709,0
360050052001003,36005005200,BX55,3709,0
360050052001004,36005005200,BX55,3709,0
360050052001005,36005005200,BX55,3709,152
360050052002000,36005005200,BX55,3709,543
360050053001000,36005005300,BX36,3707,828
360050053001001,36005005300,BX36,3707,0
360050053001002,36005005300,BX36,3707,244
360050053002000,36005005300,BX36,3707,0
360050053002001,36005005300,BX36,3707,828
360050053002002,36005005300,BX36,3707,0
360050053002003,36005005300,BX36,3707,0
360050053002004,36005005300,BX36,3707,9
360050054001000,36005005400,BX08,3709,87
360050054001001,36005005400,BX08,3709,271
360050054002000,36005005400,BX08,3709,262
360050054002001,36005005400,BX08,3709,296
360050054002002,36005005400,BX08,3709,281
360050054003000,36005005400,BX08,3709,134
360050054003001,36005005400,BX08,3709,171
