address,city,st,zip,street,researched,corrected_borough,corrected_hn,corrected_street
127 94th Ave,Richmond Hill,NY,11418,94th Ave,,4,127,94th Ave
128 Eldert Ln,Woodhaven,NY,11421,Eldert Ln,,3,128,Eldert Lane
129 14th Ave,College Point,NY,11356,14th Ave,,4,129,14th Ave
13 13th Ave,Whitestone,NY,11357,13th Ave,,4,13,13th Ave
13 Atlantic Cmns,Brooklyn,NY,11217,Atlantic Cmns,,3,13,Atlantic Commons
130 Eldert Ln,Woodhaven,NY,11421,Eldert Ln,,3,130,Eldert Lane
1301 E 169th St,Bronx,NY,10459,E 169th St,,2,1301,E 169th St
132 149th Ave,South Ozone Park,NY,11420,149th Ave,,4,132,149th Ave
13320 Whitestone Expy,Flushing,NY,11354,Whitestone Expy,,4,13320,WHITESTONE EXPWY FLUSHING  
134 Eldert Ln,Woodhaven,NY,11421,Eldert Ln,,3,134,Eldert Lane
13442 163rd St,Jamaica,NY,11434,163rd St,,4,13442,163rd St
136 Eldert Ln,Woodhaven,NY,11421,Eldert Ln,,3,136,Eldert Lane
137 15th Ave,College Point,NY,11356,15th Ave,,4,137,15th Ave
137 182nd St,Springfield Gardens,NY,11413,182nd St,,4,137,182nd St
13738 78th St,Howard Beach,NY,11414,78th St,,4,13738,78th St
13740 78th St,Howard Beach,NY,11414,78th St,,4,13740,78th St
139 141st Ave,Springfield Gardens,NY,11413,141st Ave,,4,139,141st Ave
139 141st St,Jamaica,NY,11435,141st St,,4,139,141st St
14 Eldert Ln,Woodhaven,NY,11421,Eldert Ln,,3,14,Eldert Lane
14 Williams Ct,Far Rockaway,NY,11691,Williams Ct,,4,14,William Ct
140 140th Ave,Jamaica,NY,11436,140th Ave,,4,140,140th Ave
140 220th St,Springfield Gardens,NY,11413,220th St,,4,140,220th St
14009 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-09,Asch Loop
14010 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-10,Asch Loop
14011 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-11,Asch Loop
14011 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-11,Donizetti Pl
14012 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-12,Asch Loop
14013 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-13,Asch Loop
14013 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-13,Donizetti Pl
14014 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-14,Asch Loop
14014 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-14,Donizetti Pl
14015 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-15,Asch Loop
14015 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-15,Donizetti Pl
14016 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-16,Asch Loop
14016 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-16,Donizetti Pl
14017 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-17,Asch Loop
14017 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-17,Donizetti Pl
14018 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-18,Asch Loop
14018 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-18,Donizetti Pl
14019 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-19,Donizetti Pl
1402 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-02 ,Asch Loop
1402 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-02 ,Donizetti Pl
14020 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-20,Asch Loop
14020 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-20,Donizetti Pl
14021 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-21,Asch Loop
14021 Donizetti Pl,Bronx,NY,10475,Donizetti Pl,,2,140-21,Donizetti Pl
14022 Asch Loop,Bronx,NY,10475,Asch Loop,,2,140-22,Asch Loop
