OBJECTID,boro,bct2020,centract2020
484,Bronx,2040900,36005040900
485,Bronx,2041100,36005041100
486,Bronx,2041300,36005041300
487,Bronx,2041400,36005041400
488,Bronx,2041500,36005041500
489,Bronx,2041800,36005041800
490,Bronx,2041900,36005041900
491,Bronx,2042000,36005042000
492,Bronx,2042100,36005042100
493,Bronx,2042200,36005042200
494,Bronx,2042300,36005042300
495,Bronx,2042400,36005042400
496,Bronx,2042800,36005042800
497,Bronx,2042902,36005042902
498,Bronx,2043000,36005043000
499,Bronx,2043101,36005043101
500,Bronx,2043400,36005043400
501,Bronx,2043502,36005043502
502,Bronx,2043503,36005043503
503,Bronx,2043600,36005043600
504,Bronx,2044200,36005044200
505,Bronx,2044400,36005044400
506,Bronx,2044800,36005044800
507,Bronx,2044901,36005044901
508,Bronx,2044902,36005044902
509,Bronx,2045101,36005045101
510,Bronx,2045102,36005045102
511,Bronx,2045600,36005045600
512,Bronx,2046000,36005046000
513,Bronx,2046203,36005046203
514,Bronx,2046205,36005046205
515,Bronx,2046208,36005046208
516,Bronx,2046209,36005046209
517,Bronx,2048401,36005048401
518,Bronx,2050400,36005050400
519,Bronx,2051601,36005051601
520,Brooklyn,3000200,36047000200
521,Brooklyn,3000301,36047000301
522,Brooklyn,3000501,36047000501
523,Brooklyn,3000700,36047000700
524,Brooklyn,3000900,36047000900
525,Brooklyn,3001100,36047001100
526,Brooklyn,3001501,36047001501
527,Brooklyn,3001502,36047001502
528,Brooklyn,3001802,36047001802
529,Brooklyn,3001803,36047001803
530,Brooklyn,3002000,36047002000
531,Brooklyn,3002100,36047002100
532,Brooklyn,3003300,36047003300
533,Brooklyn,3003500,36047003500
534,Brooklyn,3003600,36047003600
535,Brooklyn,3003700,36047003700
536,Brooklyn,3003800,36047003800
537,Brooklyn,3003900,36047003900
538,Brooklyn,3004100,36047004100
539,Brooklyn,3004300,36047004300
540,Brooklyn,3004400,36047004400
541,Brooklyn,3004500,36047004500
542,Brooklyn,3004600,36047004600
543,Brooklyn,3004700,36047004700
544,Brooklyn,3004900,36047004900
