factype,rectype
"NYCHA COMMUNITY CENTER - COMMUNITY SERVICES (WORKFORCE, SOCIAL SERVICES, TRANING FOR SENIORS)",facility
SPECIAL DEMO - CITY COUNCIL-OPWDD-OASAS-OMH,program
FLAGSHIP PARK,facility
CLINIC TREATMENT-OMH,program
NYCHA COMMUNITY CENTER - CHOIR,facility
NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE / COMPASS,facility
"SUPPORTED HOUSING-OMH, SUPPORTED SRO-OMH",program
MALL,facility
"ADVOCACY SERVICES-OMH, PSYCHOSOCIAL CLUB-OMH",program
NYCHA COMMUNITY CENTER - JOBS PLUS,facility
PANYNJ BUS TERMINAL,facility
STATE PARK PRESERVE,facility
TRAINING FACILITY,facility
ELDER JUSTICE,program
ADULT DAY CARE,program
OUTDOOR MAINTENANCE/STORAGE FACILITY,facility
ACADEMIC LIBRARIES,program
FEDERAL DEFENDERS,facility
NYCHA COMMUNITY CENTER - HEALTH CLINIC,facility
SOLID WASTE TRANSFER STATION,facility
"SECONDARY SCHOOL - PUBLIC, SPECIAL EDUCATION",facility
COMPOSTING,facility
"WORK, LEARN & GROW (WLG)",program
SPECIAL WASTE,facility
NYCHA COMMUNITY CENTER - SENIOR CENTER/ COMPASS,facility
APPEALS COURT,facility
NYCHA COMMUNITY CENTER - PLASTERER'S SHOP,facility
NYCHA COMMUNITY CENTER - BK PM OFFICE,facility
NYCHA COMMUNITY CENTER - UNION SETTLEMENT,facility
SCRAP METAL PROCESSOR,program
NEXT STEPS,program
IN USE-RESIDENTIAL STRUCTURE,facility
"PSYCHOSOCIAL CLUB-OMH, CRISIS/RESPITE BEDS-OMH",program
PRIMARY PREVENTION SERVICES-OASAS,program
CUNY - COMMUNITY COLLEGE,facility
"ON-SITE REHABILITATION-OMH, SUPPORTED SRO-OMH",program
"ASSISTED COMPETITIVE EMPLOYMENT-OMH, ADVOCACY SERVICES-OMH, SUPPORTED SRO-OMH",program
FATHERHOOD,program
ADULT LITERACY,program
MOTOR VEHICLE REPAIR SHOP,program
CAREERCOMPASS,program
"MEDICALLY SUPERVISED OUTPATIENT-OASAS, COMMUNITY RESIDENTIAL-OASAS, OUTPATIENT REHABILITATION SERVICES-OASAS",program
SCHOOL-OMH,program
ALTERNATIVE TO DETENTION,program
NYCHA COMMUNITY CENTER - NEIGHBORHOOD OFFICES,facility
FIELD OFFICE-STAFF,facility
ADULT OUTREACH SERVICE,program
NYCHA COMMUNITY CENTER - HEALTH CLINIC (MENTAL),facility
ACUTE CARE HOSPITAL,facility
NYCHA COMMUNITY CENTER - FOOD PANTRY,facility
NYCHA COMMUNITY CENTER - DMP,facility
NYCHA COMMUNITY CENTER - ANTI GUN VIOLENCE,facility
NYCHA COMMUNITY CENTER - CHILD CARE - EARLY INTERVENTION (ABA),facility
OUTDOOR STORAGE - EQUIPMENT,facility
NYCHA COMMUNITY CENTER - EDUCATION / IHAD LITERACY,facility
PIER - MARITIME USE,facility
ADULT PROTECTIVE SERVICES,program
OUTREACH-OMH,program
APPELLATE INDIGENT CRIMINAL DEFENSE,program
REGENTS APPROVED FOREIGN COLLEGES,program
NYCHA COMMUNITY CENTER - VACANT VIPER ROM,facility
ASPHALT PLANT,facility
TELE/COMP FACILITY,facility
ADVOCACY SERVICES-OMH,program
"ELEMENTARY SCHOOL - PUBLIC, SPECIAL EDUCATION",facility
FEDERAL HALL NATIONAL MEMORIAL,facility
CUNY - GRADUATE CENTER,facility
"NY NY III SUPPORTED HOUSING-OASAS, SUPPORTED HOUSING-OASAS",program
ARCHES,program
NYCHA COMMUNITY CENTER - SENOR CENTER,facility
LADDERS FOR LEADERS (LFL),program
LONG TERM HOME HEALTH CARE PROGRAM,program
"NON-MEDICAID CARE COORDINATION; (NON-LICENSED PROGRAM)-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
NYCHA COMMUNITY CENTER - FOOD PANTRY/STORAGE,facility
"SELF-HELP-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
RECOVERY CENTER-OMH,program
APPROVED PRIVATE SCHOOLS FOR SWD,program
"OUTREACH-OMH, PSYCHOSOCIAL CLUB-OMH, SUPPORTED SRO-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
NYCHA COMMUNITY CENTER - BUSINESS DEVELOPMENT,facility
DISTRICT COURT,facility
NYCHA COMMUNITY CENTER - CHILD CARE OR HEAD START,facility
CPEP CRISIS OUTREACH-OMH,program
LEGAL ASSISTANCE,program
FACILITIES MAINTENANCE,facility
"ADVOCACY SERVICES-OMH, SUPPORTED SRO-OMH",program
NYCHA COMMUNITY CENTER - RA LEADER,facility
NYCHA COMMUNITY CENTER - SKILLED TRADES /TA,facility
PRE-SCHOOL EVALUATION PROVIDERS FOR SWD,program
MEDIATION SERVICES,program
INDOOR STORAGE - BULK MATERIAL,facility
NYCHA COMMUNITY CENTER - MANHATTAN NEIGHBORHOOD 7,facility
CAREERADVANCE,program
"SUPPORTED SRO-OMH, ON-SITE REHABILITATION-OMH, ASSISTED COMPETITIVE EMPLOYMENT-OMH, HOMELESS PLACEMENT SERVICES (NON-LICENSED PROGRAM)-OMH",program
NYCHA COMMUNITY CENTER - SYEP 2019 (SEE NOTES),facility
STONEWALL NATIONAL MONUMENT,facility
SOLID WASTE LANDFILL,facility
"ON-SITE REHABILITATION-OMH, SUPPORTED HOUSING-OMH",program
NYCHA COMMUNITY CENTER - CHILD CARE,facility
DIAGNOSTIC & TREATMENT CENTER,facility
"AFFIRMATIVE BUSINESS/INDUSTRY-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
TESTING FACILITY,facility
NYCHA COMMUNITY CENTER - FAMILY SERVICES / VOCATIONAL / GED,facility
EMPLOYMENT WORKS,facility
"MEDICALLY SUPERVISED OUTPATIENT-OASAS, RESIDENTIAL SERVICES-OASAS",program
MUNICIPAL PARKING - INDOOR PUBLIC,facility
NYCHA COMMUNITY CENTER - SENIOR CENTER/COMPASS,facility
NYCHA COMMUNITY CENTER - NYPD,facility
NYCHA COMMUNITY CENTER - BRONX BOROUGH OFFICE RELOCATION,facility
NYCHA COMMUNITY CENTER - ATTAIN LAB,facility
NYCHA COMMUNITY CENTER - JOB TRAINING,facility
NYCHA COMMUNITY CENTER - SENIOR CENTER/ COMMUNITY CENTER - CORNERSTONE,facility
